JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
"Business Intelligence Analyst Intern - Summer 2021- Dublin, Ireland","Guidewire Software, Inc.",Dublin,6 days ago,2021-01-22,"Guidewire combines core, data, digital, analytics, and AI to deliver our platform as a cloud service. Get to learn data analysis and consolidation processes and…",,https://ie.indeed.com/rc/clk?jk=19bace745449e880&fccid=be90d89fb010b0bf&vjs=3
Specialist TAM (Big Data & Analytics),AWS EMEA SARL (Irish Branch),Dublin,30+ days ago,2021-01-22,Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Ability to understand complex application data flows and bridge…,,https://ie.indeed.com/rc/clk?jk=c8a3a4f8efb222c0&fccid=fe2d21eef233e94a&vjs=3
"People Analyst, Reporting and Insights",Google,Dublin,2 days ago,2021-01-22,"Manipulate and analyze large datasets to distill insights from data, and convey findings to executive audiences.",,https://ie.indeed.com/rc/clk?jk=3e87810e96e58fab&fccid=a5b4499d9e91a5c6&vjs=3
"Data Analyst I, IRE - Maverick AI Superuser",Unum,Carlow,6 days ago,2021-01-22,"Experience in data analytics, modelling or applied machine-learning required. We require someone who has a unique blend of data analytics, financial analysis…",,https://ie.indeed.com/rc/clk?jk=f7eab9a15ac75eaf&fccid=645cc4ef8d29b478&vjs=3
Data Analyst,wa consultants,Dublin,10 days ago,2021-01-22,"Analyse data to understand data limitations, improving data quality and actively contribute to data quality improvement efforts both internally and externally.","€40,000 - €50,000 a year",https://ie.indeed.com/rc/clk?jk=76634ca6515b9313&fccid=acd967fa86d60a23&vjs=3
Data Insights & Analytics Manager,Penneys,Dublin,10 days ago,2021-01-22,"Drive and advance data visualisation and analytics strategy. Promote a culture of enhanced performance through the use of data, analytics and visualisation.",,https://ie.indeed.com/rc/clk?jk=17cb6fbb03c7b65c&fccid=909e8aea2791d782&vjs=3
Intern Opportunities for Students - Ireland: Customer Engineering,Microsoft,Dublin,Today,2021-01-22,Would you like to join one of the fastest-growing team within Microsoft Azure Engineering? Are you customer-obsessed constantly looking for enhancing customer…,,https://ie.indeed.com/rc/clk?jk=a5775a6c7991603b&fccid=734cb5a01ee60f80&vjs=3
Senior Data Analyst,Lionbridge Technologies,"Ballina, County Mayo",Just posted,2021-01-22,"Detailed knowledge of a range of AI techniques including supervised and unsupervised machine learning techniques such as deep learning, graph data analytics,…",,https://ie.indeed.com/rc/clk?jk=b9af15480f1d6935&fccid=52f57f86717b2054&vjs=3
Equity Analytics Specialist,Fidelity International,Dublin,9 days ago,2021-01-22,"Calculation of Portfolio turnover, Active Share and ESG data. The performance operations team is responsible for ensuring the quality of our data, management of…",,https://ie.indeed.com/rc/clk?jk=5776967c7d45dbaa&fccid=b968b58ad5fb8d16&vjs=3
Analytics Manager,Ulster Bank,"South Dublin, County Dublin",3 days ago,2021-01-22,Developing project specific approaches and frameworks to make sure that appropriate data and analytics are used in the assessment of specific business projects.,,https://ie.indeed.com/rc/clk?jk=da097a87c0d16e70&fccid=e098b65f295a7dbe&vjs=3
Data Science Analyst,Glanbia,Kilkenny,16 days ago,2021-01-22,"Minimum of 2 years professional post qualification work experience in the area of data science or business analytics. Location: Kilkenny, KK, IE, R95 E866.",,https://ie.indeed.com/rc/clk?jk=8aebec5b2863f833&fccid=3948ea04566b0dab&vjs=3
Marketing Internship Programme,Idiro Analytics,Dublin,10 days ago,2021-01-22,An interest in the data and analytics industry would be an advantage. Idiro Analytics is a pioneer in big data and advanced analytics based in Dublin city…,,https://ie.indeed.com/company/Idiro-Analytics/jobs/Marketing-Internship-Programme-f2100c995c9c0823?fccid=63fb844e405f53bf&vjs=3
